Lag,Hour,Test,Validation,val_y_shape,,test_y_shape,,val_y_shape,
53,2,0.984,0.982,(75728, 24),(75728, 1),(180, 1)
60,2,0.984,0.982,(75724, 24),(75724, 1),(180, 1)
62,2,0.984,0.982,(75723, 24),(75723, 1),(180, 1)
67,2,0.984,0.982,(75721, 24),(75721, 1),(180, 1)
68,2,0.984,0.982,(75720, 24),(75720, 1),(180, 1)
69,2,0.983,0.982,(75720, 24),(75720, 1),(180, 1)
70,2,0.984,0.982,(75719, 24),(75719, 1),(180, 1)
76,2,0.984,0.982,(75716, 24),(75716, 1),(180, 1)
77,2,0.984,0.982,(75716, 24),(75716, 1),(180, 1)
79,2,0.983,0.982,(75715, 24),(75715, 1),(180, 1)
81,2,0.984,0.982,(75714, 24),(75714, 1),(180, 1)
83,2,0.984,0.982,(75713, 24),(75713, 1),(180, 1)
85,2,0.984,0.982,(75712, 24),(75712, 1),(180, 1)
86,2,0.983,0.982,(75711, 24),(75711, 1),(180, 1)
89,2,0.984,0.982,(75710, 24),(75710, 1),(180, 1)
91,2,0.983,0.982,(75709, 24),(75709, 1),(180, 1)
92,2,0.983,0.982,(75708, 24),(75708, 1),(180, 1)
93,2,0.984,0.982,(75708, 24),(75708, 1),(180, 1)
96,2,0.983,0.982,(75706, 24),(75706, 1),(180, 1)
99,2,0.983,0.982,(75705, 24),(75705, 1),(180, 1)
100,2,0.983,0.982,(75704, 24),(75704, 1),(180, 1)
107,2,0.983,0.982,(75701, 24),(75701, 1),(180, 1)
5,2,0.983,0.981,(75752, 24),(75752, 1),(180, 1)
6,2,0.984,0.981,(75751, 24),(75751, 1),(180, 1)
10,2,0.983,0.981,(75749, 24),(75749, 1),(180, 1)
11,2,0.984,0.981,(75749, 24),(75749, 1),(180, 1)
44,2,0.983,0.981,(75732, 24),(75732, 1),(180, 1)
66,2,0.983,0.981,(75721, 24),(75721, 1),(180, 1)
71,2,0.983,0.981,(75719, 24),(75719, 1),(180, 1)
74,2,0.983,0.981,(75717, 24),(75717, 1),(180, 1)
75,2,0.982,0.981,(75717, 24),(75717, 1),(180, 1)
78,2,0.983,0.981,(75715, 24),(75715, 1),(180, 1)
82,2,0.983,0.981,(75713, 24),(75713, 1),(180, 1)
90,2,0.983,0.981,(75709, 24),(75709, 1),(180, 1)
